"Date","Site.Name","COUNTY","meanLat","meanLong","month","year","PM2.5","Ozone"
2020-01-16,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,60,NA
2020-01-16,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,NA,44
2020-01-16,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,61,27.5
2020-01-16,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,68,NA
2020-01-16,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,29,NA
2020-01-16,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,70,NA
2020-01-16,"Millbrook School","Wake",35.856111,-78.574167,1,2020,58,25.5
2020-01-16,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,37,NA
2020-01-16,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,53,31
2020-01-17,"Bryson City","Swain",35.434767,-83.442133,1,2020,37,NA
2020-01-17,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,24,NA
2020-01-17,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,55,NA
2020-01-17,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,54.5,NA
2020-01-17,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,15,40
2020-01-17,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,40.5,24
2020-01-17,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,47.5,NA
2020-01-17,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,38,NA
2020-01-17,"Linville Falls","Avery",35.972347,-81.933072,1,2020,19,NA
2020-01-17,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,51,NA
2020-01-17,"Millbrook School","Wake",35.856111,-78.574167,1,2020,56,27
2020-01-17,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,48.5,NA
2020-01-17,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,66,26
2020-01-18,"Bryson City","Swain",35.434767,-83.442133,1,2020,48,NA
2020-01-18,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,30,NA
